Gene	cluster
NFIX	10
LAMTOR1	9
NDUFB10	17
PGP	16
NFIC	2
NFIA	10
NFE2L3	1
NFE2L1	2
NFATC2IP	2
NFASC	10
BIN3	2
NEXN	26
PHACTR4	5
RB1CC1	5
THEMIS2	3
RPL27	12
PGM3	2
NES	3
NEK8	18
MED29	9
ASTN2	10
RFWD3	18
NEK6	3
NEK11	20
PSMD7	17
DUSP15	6
NEDD9	25
NEDD8	17
GABPB1	2
NEDD4L	10
PHF24	16
AK1	9
NECTIN1	7
CLDN3	21
OXSR1	5
IQCH-AS1	2
NECAB2	3
NECAB1	10
NEAT1	10
FAM156A	4
NDUFS8	17
NDUFS6	17
C11orf68	6
NDUFB9	17
NDUFB3	17
NDUFAF8	17
PHF23	18
GFM2	2
ZNF783	4
NDUFAF4	9
NDUFA7	15
NDUFA12	17
NDUFA10	5
NDST3	10
NDRG2	3
NDC1	2
NCSTN	6
NCOA7	5
SMARCA2	10
NCOA5	2
NCOA4	2
NCOA2	10
MFSD13A	4
NR1D2	5
NCEH1	5
NCAPH2	4
NCAPH	11
NCAN	3
KCTD6	4
OTUD4	5
NBPF9	4
RGS17	5
NBPF3	4
ABCB10	2
G2E3	5
NBPF19	3
NBPF14	3
NBPF11	8
NDUFS3	17
PORCN	6
NBAS	10
PYCR2	9
NAT16	1
GPR137C	10
NAPG	5
PPIL3	9
NAPB	14
NAPA	16
NAP1L5	17
NAP1L3	14
NANS	9
SPP1	7
NEDD1	3
PARM1	10
NAIF1	1
NAGS	9
NAGA	18
NAF1	2
NACC1	4
NACA2	1
NABP1	3
KITLG	10
NAB2	4
RFLNB	1
OTUB2	6
DDB2	4
NAA16	5
HNRNPAB	11
NAA10	15
N4BP2L2	10
MZT2B	15
MYT1	3
POPDC2	9
ATXN7L1	5
FCF1	1
PPIP5K1	19
SRRT	4
MYO6	10
MYO5A	10
NPRL2	9
MYO10	3
MYLK3	18
MYLIP	3
MYL12A	3
MYH7B	1
MYH7	6
PSMA3	17
CNFN	15
MYCBP2	10
ARHGEF9	10
MYBL1	11
POM121	19
MXRA5	3
C5AR1	3
MXI1	5
MVB12A	21
FZD10	3
SMG1P5	2
MUTYH	4
MUS81	4
ADGRG6	3
MUC1	1
MTUS2	10
MTRR	2
SURF6	6
PCP4L1	8
PLAGL1	10
MTMR1	5
SEC22C	2
MTIF3	2
TUB	19
MTHFD2L	20
MTFP1	1
MTF2	5
MTCL1	19
CTDSP1	3
MT-ND2	27
MT-CO1	27
QSOX2	4
MT-ATP6	27
SEC61G	17
MSX1	3
NLRP1	3
MST1R	1
ZBTB37	4
MST1	1
MSS51	4
MSRB2	15
LINGO1	19
APTX	5
MSL3	6
TANGO6	19
MSL2	19
MSL1	19
CPXM2	3
MSI1	3
ATP11A	7
MSH6	4
SLC24A5	1
MSH2	5
SAMM50	9
PER3	5
DDX3Y	17
MRTO4	9
OPTN	14
MUC3A	1
MRS2	2
MRRF	2
LINC00511	10
MRPS35	17
MRPS34	15
ZNF660	4
MRPS27	5
NNMT	3
MRPS25	17
MRPS22	9
MRPS2	6
MRPS18C	17
MRPS10	9
CREM	10
MRPL9	9
MRPL57	15
SOCS2-AS1	3
MRPL55	9
KHDRBS1	14
MRPL48	2
MRPL47	9
MRPL42	17
MRPL38	6
PDCD4	17
SPPL2A	5
MRPL33	17
ST3GAL1	3
MRPL27	9
RRAS2	19
CALCRL	8
ANGEL1	23
MRPL2	15
C11orf96	15
MRPL13	2
SEC24A	2
ZNF692	4
MRPL1	5
MRNIP	2
MRI1	16
CWC27	5
FOXO4	6
GAD1	8
PDHX	5
OTP	3
MRE11	2
MRC2	3
MRAP2	3
WDR17	10
ZNF629	6
MSRB1	9
MPV17L2	6
GCNT1	19
PGLS	15
MPRIP	5
MPPE1	2
DEPTOR	7
MTFR1	7
MPP7	10
MPND	1
NOC2L	6
POLR2L	17
RAD51B	7
MORN4	2
MORN1	4
MORF4L2	14
SNRPD3	12
MORF4L1	17
MORC4	3
MORC3	19
NOM1	4
MON2	10
MOK	20
MOGS	4
BANF1	17
MOCS1	1
EPHX4	19
TRIM21	6
MOB3B	10
RIDA	9
MNS1	3
PCOLCE2	3
MNAT1	10
MMRN1	3
MDM1	20
MMP2	3
MMP17	19
MMP15	3
MMP14	3
NAT8L	16
MMP10	1
MMACHC	1
MLXIP	19
MLLT6	2
TMPRSS5	18
MTSS1	10
MLLT1	6
MLH1	2
MKNK1	19
MKKS	16
DLEU2	10
MIS18A	9
TREX1	1
PKD2	5
MICAL3	10
SLC7A9	1
PUS10	2
MN1	8
MYO15B	3
MIR100HG	10
MIPOL1	5
MINCR	1
TRIM11	4
PCDHAC2	1
MIGA2	4
MIER3	6
MIEF1	6
NBEAL1	5
MIDN	13
SUMO1	17
MICU3	10
MICU2	5
MICAL1	4
MIB2	4
MIB1	5
MIAT	10
APOBEC3G	1
ARHGAP1	7
MGST2	3
TMOD2	14
MGST1	22
ZNF134	6
MGMT	7
MGLL	10
PCDHA5	1
HRH2	19
PSAT1	11
PCSK6	7
NXNL2	3
ZNF10	5
MFSD8	2
C10orf88	6
MFSD6	5
MFSD4A	19
AHDC1	19
MFSD3	15
MFSD14B	2
MFSD10	16
MFSD1	2
MFGE8	3
MFAP4	3
MEX3A	12
METTL9	17
PHF11	3
MIER2	4
F8	1
PRAM1	25
BICD1	10
SVOP	5
PPP1R12B	10
METTL3	9
NUAK1	19
METTL26	15
METTL23	9
CLYBL	7
ADAT1	4
METTL21A	4
METTL15	5
CCDC102A	1
STAP2	1
MET	20
MT-CYB	27
MCM9	2
TRAPPC1	9
SHISA6	10
MEPCE	6
TMEM167A	17
PDIA6	19
MEMO1	16
MELTF-AS1	23
PKMYT1	11
MELTF	3
REEP4	1
MEIS3	19
MEIOC	1
MEGF9	5
SEC14L2	4
MED4	19
MED26	4
C2CD5	10
MED25	4
MED20	6
MED18	6
MED17	2
PTPRA	10
MED13	5
MED12L	10
MDM4	22
MDM2	5
SLC25A17	2
MDH1B	1
PROB1	1
MDFI	3
MCUB	3
KIF1B	10
SQLE	23
MCU	5
MCTS1	17
MCRS1	9
MCRIP1	9
MCMDC2	1
RNPS1	17
MCM3AP	2
MCM2	11
MCHR1	6
MPST	21
MCF2	16
MAT2A	14
MCCC1	5
NXPE3	7
PDE8B	10
MBTPS1	5
PIPOX	3
MBTD1	5
NT5C	3
USP51	6
MBLAC2	19
RPL26L1	9
MBD3	6
MBD1	2
NDUFB2-AS1	1
MAZ	15
MAX	19
MASTL	1
ODF2L	10
DCC	10
NOP2	9
MAST3	19
MAST1	5
MARVELD1	9
MARCKSL1	14
COX10	2
MGAT1	6
ZNF106	5
MAPKBP1	5
WDR55	9
PRPF3	2
MAPKAPK2	3
MAPK8IP2	2
MAPK8IP1	7
MAPK8	10
MAPK4	19
MAPK14	5
MAP9	14
MAP4K5	10
FSCN1	6
MAP3K6	1
FAM229A	1
MAP3K5	10
MAP3K4	5
DCLK1	10
MAP3K15	3
MAP3K12	4
MAP3K11	1
HS2ST1	5
ZFAND3	10
MAP2K2	17
MAP2K1	19
MAP1S	6
MAP1LC3A	17
PPP1R7	17
GABRA3	10
MANEA	6
MANBA	5
MAN2A2	7
MTA1	6
MAN1B1	4
MALSU1	9
HOOK3	5
HPS4	2
FEZ1	14
HEBP2	3
XPR1	10
MAGED1	5
CENPM	11
ZGLP1	4
PCBP1	19
FAM171A1	10
GRIK4	10
MT-ATP8	6
NDOR1	4
MAFB	3
MAF1	6
MAF	3
MADD	19
KCTD2	6
MAD2L1	11
ZNF79	1
MRAS	2
PDLIM3	3
EXT1	10
MACF1	10
YIPF5	15
CCND2-AS1	4
PROC	1
MAB21L2	3
PADI2	7
NFX1	19
LZTFL1	6
SLIT1	19
C1orf56	22
PCDHB5	6
LYSMD4	4
GALP	9
LYSMD1	6
MECP2	14
KRT10	15
PHIP	10
TH	3
LYRM2	17
LYPLAL1	5
PLXNA3	4
TRAPPC13	5
PRUNE2	10
LYG1	1
BCL7B	6
LY6E	17
LVRN	4
LUM	3
LTN1	17
KCNH7	10
MRPS23	9
MRPL40	9
LSM8	2
LSM14A	5
NRP2	3
LSM12	4
LSM1	9
IL17RD	3
PGGHG	1
LSG1	9
MAGEH1	17
ZNF718	5
MEGF6	1
CHD1L	16
LRRTM4	10
LRRN3	10
GOLGA6L9	1
RGP1	4
LRRN1	5
TMEM64	7
LRRK2	5
FUS	14
LRRIQ1	20
LRRC9	20
TBC1D2B	2
PEG10	14
LRRC8D	2
FMNL2	10
LRRC73	6
DNAH1	4
MARK3	5
MZF1	16
MIS18BP1	11
LRRC56	1
LRRC55	3
MMADHC	9
LRRC4B	19
LRRC41	2
CDC42EP3	3
BUB1B	11
PLEKHB2	14
LRRC3	1
LRRC25	1
YPEL5	17
LRR1	11
LRP4-AS1	3
LRP1B	10
LRP1	19
LRIG2	2
LRIG1	3
MMGT1	6
LRFN1	6
LRCH2	5
LRCH1	10
LRBA	10
LRAT	3
LPIN3	18
CLOCK	5
PRR18	7
PIK3R2	6
LPAR6	25
RHOT1	5
LOXL4	3
FSCN2	1
LOX	3
LNPEP	5
DNAH6	20
PMPCB	2
MPV17	2
MYO1C	21
WIZ	6
KNDC1	19
LMO4	10
LMO3	10
OCM	18
PARD6G	3
CDIPT	15
MRFAP1L1	23
LMNA	3
CPNE7	3
LMF2	4
LMBRD2	14
AMN1	5
MTTP	9
LMBR1	5
ANTXR2	19
PIGC	22
GCSH	11
LLGL2	7
MED15	19
LLGL1	4
NUP153	5
MAB21L1	3
POC1A	11
MAP7	10
SLC5A2	1
PIK3R3	2
SAP18	17
LIPT1	9
PACS1	5
LIPG	3
PRKCD	6
TAS1R3	1
ZSCAN31	2
LIPE-AS1	19
SYNPO	2
LINGO2	10
PCSK4	1
MARK4	19
PDE4D	10
SPAG9	5
CADPS2	10
AKAP7	5
CLK1	14
STK32C	2
RP2	1
KIAA1328	5
AATK	7
MYH3	1
SLC7A11	3
SPEF1	8
POLE2	15
METTL22	4
KLHL32	10
ABCC8	19
RPH3A	10
MYO15A	3
SREK1IP1	14
ZNF251	19
MAK16	6
LRRC27	4
RNF152	3
ARSB	5
MLF1	20
TRUB1	2
PFN1	15
ZNF330	9
CSTF2	9
CEP104	2
NELFCD	9
ZBTB24	6
PKP2	13
RAD21	14
MAST2	5
NRIP3	8
SDSL	1
INO80E	1
FAM161A	9
PARP1	17
DUSP6	13
IBTK	5
PPIE	4
APAF1	4
RNF216	5
PAPPA2	7
MED21	2
TEFM	2
HYAL3	9
PAMR1	3
NAP1L1	14
PIGF	17
N4BP2L1	5
PHF6	17
UBAC2-AS1	1
ARL4C	8
ZNF350-AS1	3
DLEU1	25
PPP4R3B	5
ABCA17P	2
NPIPB13	1
PCGF1	9
RAB34	3
SCYL2	5
NR2F1-AS1	10
USP48	5
PLBD2	2
P2RX6	3
NTPCR	2
RNF7	12
PELI2	7
MT3	17
NLGN2	23
FANCI	11
NSUN5	1
MESP1	15
SLC25A24	16
HTRA3	1
SLC38A7	4
MAK	22
MYL7	1
PGM2	9
PACRGL	20
CCDC107	9
MTOR	19
NRSN2	17
MT-ND6	6
OGFOD1	2
RASGRP1	10
MT-CO3	27
EWSR1	5
CCDC142	4
LRRC26	1
MRPS7	9
LRRTM2	14
FAXDC2	7
SLC29A1	4
NXN	3
NUCB2	5
PLXNC1	19
ATRX	10
C17orf80	9
TWSG1	2
ING4	2
TEX29	1
COX16	17
AMH	1
NUDT14	9
KIF2C	11
NKAIN1	3
CSTF1	9
MAN1A1	10
HUNK	19
SLC30A6	2
THAP3	9
RNASE4	1
CFDP1	17
PRR16	10
C16orf86	1
TMEM74	3
NCAM1	10
QTRT2	19
CARD8	25
UBAP1	5
WWC1	20
PRKAG1	2
ANKS1A	5
POLR3H	9
AP2S1	17
PPP1R17	11
CAMSAP1	5
PCBD1	9
OFD1	2
PENK	8
LIN9	4
KLHL9	6
MISP3	15
PPFIA3	2
ZNF836	4
TGFBRAP1	4
CKAP4	6
GDAP1L1	2
PNPLA8	19
TMED7	14
ENPP4	7
NIPSNAP3B	6
CTNNA2	10
REPS1	5
CDK7	2
ARHGEF33	8
POP5	9
GADD45GIP1	15
LYPLA1	16
SYNE1	10
DNAJC24	2
MARK1	10
REC8	3
PTPRD-AS1	18
RBM26	10
TXNDC11	2
MAPK3	23
PARD3B	7
ADH5	9
TAF4	2
ERCC6	2
PREPL	14
LMF1	19
EPB41	10
PIWIL2	3
MANF	9
RXRA	3
ZNF146	7
NFATC3	2
TMEM79	9
PSMD3	15
COPA	5
MTERF2	4
STK11IP	4
MAD2L1BP	9
HDAC10	6
SH3D21	4
MAGI2-AS3	5
SLC43A1	18
TEX22	1
SLC24A2	10
AKR1B1	9
ARID1B	10
TUBB4A	14
ZNF296	1
PKIA	5
PJA2	14
TMTC3	2
ITGB1BP1	5
PHOSPHO2	6
NHLRC3	16
F2RL1	1
PHTF1	16
PSMD11	19
NRL	1
MT-CO2	27
ISOC2	9
PLOD3	4
TNFSF12	18
PLXNA2	10
LRRC75A	4
GLUL	7
SNHG3	4
GFOD2	2
SLC8A2	19
YDJC	6
MSMO1	23
RSPRY1	2
RN7SK	1
NAV3	10
MSANTD3	2
CHST1	2
PLXNA4	10
PTGFR	3
GAD2	8
PTPN3	19
MTG1	2
PRPF31	9
MXD3	11
C1orf21	10
LINC01315	21
DACT3-AS1	4
TIGD1	1
PRR11	11
PCNX4	5
TMEM104	1
FMO5	1
RARS2	5
MGAT5	10
GAL3ST4	3
ISLR2	3
GJA1	3
MMP16	10
ZNF200	6
ARID3B	3
LINC01234	4
CES3	3
NDUFV2	4
MFSD14A	2
SFXN4	2
METTL2A	4
SENP1	4
FAM89A	3
LINC01210	8
LINC01201	3
NOVA1	10
GNA13	2
PRSS23	7
NKIRAS1	2
LRCH3	5
TP53I13	15
ZDHHC21	10
MFAP3	19
MKRN1	2
GCFC2	5
LRRCC1	3
OSBPL7	1
IPP	6
TNFAIP8L1	6
NELL1	10
LINC01128	2
NAA38	17
MIR4435-2HG	19
MON1A	1
APOLD1	11
TBC1D10A	3
ZFPM1	6
PEX14	5
PABPC1L	8
SZRD1	18
STUB1	17
OSBPL2	8
NAGK	9
SPNS1	1
EXOSC6	2
LINC01012	1
ZSCAN32	9
COL7A1	3
PMS1	5
PTEN	5
NBPF20	1
DPM3	15
POLR2J2	4
MEGF10	7
FCRLB	6
LTBP4	4
HLF	19
TMEM260	5
RPL35	12
LINC00926	1
MOB3A	4
ADAMTS20	3
TGDS	9
PCDHB10	6
PCDH15	10
DDX11-AS1	9
PAX2	3
MGME1	11
SIN3B	19
CENPN	11
ANKEF1	22
NPL	25
CNIH2	19
SMARCD3	2
MTERF3	9
BLOC1S3	4
NUDT19	1
LINC01089	4
KCNH3	19
NYNRIN	3
NUBP2	9
CNKSR1	1
TRIM54	13
LINC00683	19
GEMIN5	2
LINC00641	6
CBX7	2
NPIPB15	1
STK36	18
LINC00629	4
TOM1	3
PRR5L	7
PPP3CC	10
BRAP	2
NTSR1	3
SWI5	9
PTCHD4	10
PLXNB1	3
PPP2R5B	15
PITPNA	2
NINJ1	3
MIF4GD	9
PFKM	17
ACBD3	2
XKR6	10
SH3D19	10
INTS3	16
ARHGEF12	10
LAMP5	8
NSUN2	2
BIVM	16
POLD4	15
TEKT3	18
PGBD2	6
WDR26	5
NUDT10	6
ZNF345	2
ZER1	5
LYSMD3	9
CYTH1	7
FAM229B	9
ZNF469	1
CDK14	10
SPATA2	6
UBN2	5
PDE6D	2
PHF20L1	10
NIFK-AS1	2
LRP5	3
ZNF81	2
PPP2R5E	5
MED23	5
PDHB	9
NOP58	19
PCOLCE-AS1	1
CDCA7	3
NPIPB6	1
FBF1	4
PSEN2	9
PCAT6	6
HELQ	2
LETM1	4
CASD1	14
TRAM1L1	6
DCP1B	2
LPIN2	10
NPTN	14
LINC00294	4
HBP1	2
POLE3	15
SLC25A46	5
NOCT	4
HECTD3	6
DOC2A	19
LINC00174	2
LINC00173	3
GSTM3	9
NBPF1	3
CD101	1
ABL1	5
UBE2W	5
LIN7B	15
LIN37	1
LIN28B	16
WDR45B	2
